province,census_division_name,city,odhf_facility_type,facilities
on,Perth,stratford,Hospitals,1
mb,Unknown,south indian lake,Hospitals,1
bc,Capital,north saanich,Nursing and residential care facilities,6
qc,Les Collines-de-l'Outaouais,la pêche,Hospitals,1
on,Hastings,madoc,Ambulatory health care services,3
on,Northumberland,codrington,Nursing and residential care facilities,1
qc,Nord-du-Québec,oujé-bougoumou,Ambulatory health care services,2
qc,La Matapédia,amqui,Ambulatory health care services,2
qc,La Jacques-Cartier,sainte-catherine-de-la-jacques-cartier,Ambulatory health care services,1
qc,Témiscouata,dégelis,Ambulatory health care services,1
nl,Division No.  3,ambrose,Ambulatory health care services,1
ab,Division No.  2,bassano,Hospitals,1
on,Renfrew,deep river,Ambulatory health care services,1
sk,Division No.  9,yorkton,Nursing and residential care facilities,3
on,Cochrane,kapuskasing,Hospitals,1
ns,Halifax,sheet harbour,Hospitals,1
on,Rainy River,devlin,Ambulatory health care services,1
sk,Division No.  5,wolseley,Nursing and residential care facilities,1
qc,Les Moulins,terrebonne,Nursing and residential care facilities,2
qc,Unknown,greenfield park,Hospitals,1
nl,Division No.  2,st lawrence,Hospitals,1
nl,Division No.  8,baie verte,Hospitals,1
mb,Division No. 23,churchill,Hospitals,1
on,Prescott and Russell,clarence-rockland,Ambulatory health care services,1
mb,Division No. 18,lundar,Ambulatory health care services,1
qc,Les Maskoutains,saint-hyacinthe,Hospitals,3
sk,Division No. 18,la loche,Hospitals,1
on,Dufferin,shelburne,Ambulatory health care services,1
nl,Division No.  1,carbonear,Hospitals,1
bc,Kitimat-Stikine,hazelton,Hospitals,1
bc,Greater Vancouver,pitt meadows,Ambulatory health care services,2
bc,Kitimat-Stikine,kitimat,Hospitals,1
pe,Queens,charlottetown,Nursing and residential care facilities,25
bc,Kitimat-Stikine,terrace,Nursing and residential care facilities,4
qc,Montcalm,sainte-julienne,Ambulatory health care services,1
on,Greater Sudbury / Grand Sudbury,sudbury,Ambulatory health care services,22
sk,Division No. 16,north battleford,Nursing and residential care facilities,2
sk,Division No.  1,carnduff,Nursing and residential care facilities,3
on,Lanark,smiths falls,Nursing and residential care facilities,3
qc,Rivière-du-Loup,rivière-du-loup,Nursing and residential care facilities,3
qc,La Vallée-du-Richelieu,saint-antoine-sur-richelieu,Nursing and residential care facilities,1
sk,Division No. 10,wadena,Hospitals,1
qc,Antoine-Labelle,rivière-rouge,Nursing and residential care facilities,1
mb,Division No.  4,manitou,Hospitals,1
bc,Unknown,vancouver,Nursing and residential care facilities,10
nb,Carleton,bath,Nursing and residential care facilities,1
sk,Division No.  3,gravelbourg,Hospitals,1
on,Thunder Bay,terrace bay,Ambulatory health care services,1
qc,Montréal,westmount,Ambulatory health care services,1
pe,Queens,north rustico,Ambulatory health care services,1
qc,Laval,laval,Ambulatory health care services,13
mb,Division No.  8,gladstone,Hospitals,1
nl,Division No.  3,belleoram,Ambulatory health care services,1
bc,Capital,salt spring island,Hospitals,1
mb,Division No.  4,baldur,Hospitals,1
on,Essex,essex,Nursing and residential care facilities,2
qc,Matawinie,saint-donat,Ambulatory health care services,1
on,Manitoulin,little current,Hospitals,1
qc,Abitibi-Ouest,taschereau,Ambulatory health care services,1
on,Prescott and Russell,alfred,Nursing and residential care facilities,2
bc,Mount Waddington,port hardy,Hospitals,1
qc,Nord-du-Québec,quaqtaq,Ambulatory health care services,1
qc,Vaudreuil-Soulanges,saint-polycarpe,Ambulatory health care services,1
bc,Fraser Valley,mission,Ambulatory health care services,2
on,Manitoulin,sheshegwaning,Ambulatory health care services,1
mb,Division No.  7,rivers,Hospitals,1
bc,Unknown,penticton,Nursing and residential care facilities,1
qc,Les Appalaches,disraeli,Ambulatory health care services,1
qc,Longueuil,brossard,Ambulatory health care services,2
ab,Division No. 15,canmore,Hospitals,1
on,Unknown,brockville,Hospitals,1
qc,Roussillon,châteauguay,Hospitals,2
qc,Antoine-Labelle,mont-laurier,Hospitals,2
ab,Division No.  1,bow island,Hospitals,1
bc,Nanaimo,qualicum beach,Nursing and residential care facilities,2
bc,Central Kootenay,new denver,Nursing and residential care facilities,1
qc,Argenteuil,lachute,Nursing and residential care facilities,1
ab,Division No.  8,lacombe,Hospitals,1
bc,Peace River,fort st john,Nursing and residential care facilities,3
on,Grey,markdale,Hospitals,1
ns,Digby,digby,Hospitals,1
on,York,aurora,Ambulatory health care services,3
nb,Gloucester,tracadie-sheila,Hospitals,1
bc,Powell River,powell river,Nursing and residential care facilities,13
qc,Abitibi-Ouest,duparquet,Ambulatory health care services,1
on,Thunder Bay,plat,Ambulatory health care services,1
on,Bruce,southampton,Ambulatory health care services,1
ab,Unknown,okotoks,Hospitals,1
on,Middlesex,dorchester,Nursing and residential care facilities,1
mb,Unknown,lac brochet,Hospitals,1
bc,Unknown,delta,Nursing and residential care facilities,3
on,Bruce,lions head,Ambulatory health care services,1
qc,Charlevoix-Est,notre-dame-des-monts,Ambulatory health care services,1
bc,Central Kootenay,creston,Hospitals,1
sk,Unknown,mossbank,Ambulatory health care services,1
qc,Unknown,les îles-de-la-madeleine,Hospitals,1
ab,Division No.  8,red deer,Hospitals,2
ns,Halifax,dartmouth,Nursing and residential care facilities,6
nl,Division No. 10,forteau,Hospitals,1
bc,Sunshine Coast,sechelt,Nursing and residential care facilities,6
sk,Division No.  3,assiniboia,Hospitals,1
qc,Unknown,ormstown,Hospitals,1
nl,Division No.  6,grand falls-windsor,Hospitals,1
bc,Cowichan Valley,chemainus,Hospitals,1
sk,Division No.  2,midale,Ambulatory health care services,1
sk,Division No. 16,canwood,Nursing and residential care facilities,1
on,Renfrew,pembroke,Nursing and residential care facilities,8
on,Algoma,wawa,Ambulatory health care services,3
qc,Les Appalaches,thetford mines,Ambulatory health care services,3
ab,Division No.  2,lethbridge,Hospitals,1
ns,Cumberland,pugwash,Hospitals,1
pe,Kings,souris,Ambulatory health care services,2
qc,Les Jardins-de-Napierville,napierville,Ambulatory health care services,2
mb,Unknown,wasagamack,Hospitals,1
on,Perth,mitchell,Nursing and residential care facilities,2
on,Middlesex,southwold,Nursing and residential care facilities,1
on,Huron,londesborough,Nursing and residential care facilities,1
pe,Queens,stratford,Ambulatory health care services,1
on,Cochrane,smooth rock falls,Hospitals,1
mb,Division No.  1,,Ambulatory health care services,1
bc,East Kootenay,fernie,Nursing and residential care facilities,1
qc,Gatineau,gatineau,Nursing and residential care facilities,14
nl,Division No.  8,twillingate,Hospitals,1
nb,Saint John,saint john,Hospitals,4
qc,Les Laurentides,labelle,Nursing and residential care facilities,1
ab,Division No. 11,drayton valley,Hospitals,1
ns,Annapolis,bridgetown,Nursing and residential care facilities,1
pe,Prince,summerside,Ambulatory health care services,3
mb,Division No.  3,morris,Hospitals,1
on,Bruce,kincardine,Hospitals,1
on,Lambton,sarnia,Ambulatory health care services,10
nb,Northumberland,boiestown,Nursing and residential care facilities,1
qc,Les Maskoutains,saint-hyacinthe,Ambulatory health care services,6
on,Niagara,thorold,Ambulatory health care services,4
nb,Northumberland,rogersville,Nursing and residential care facilities,1
on,Cochrane,mattawa,Hospitals,1
qc,Matawinie,saint-michel-des-saints,Ambulatory health care services,1
sk,Division No. 14,tisdale,Hospitals,1
qc,Montréal,beaconsfield,Ambulatory health care services,1
mb,Division No. 15,minnedosa,Hospitals,1
qc,Longueuil,saint-lambert,Nursing and residential care facilities,3
sk,Division No.  4,eastend,Ambulatory health care services,1
mb,Division No. 23,leaf rapids,Hospitals,1
qc,La Haute-Gaspésie,cap-chat,Nursing and residential care facilities,1
qc,Bonaventure,bonaventure,Nursing and residential care facilities,2
on,Nipissing,west nipissing,Nursing and residential care facilities,1
on,Kenora,red lake,Hospitals,1
bc,Cariboo,williams lake,Hospitals,1
sk,Unknown,black lake,Hospitals,1
on,Prescott and Russell,casselman,Ambulatory health care services,1
on,Unknown,cornwall,Nursing and residential care facilities,1
bc,Unknown,salt spring island,Nursing and residential care facilities,1
qc,Abitibi-Ouest,la sarre,Nursing and residential care facilities,1
sk,Division No.  3,assiniboia,Ambulatory health care services,1
on,Huron,clinton,Ambulatory health care services,5
on,Prescott and Russell,vankleek hill,Ambulatory health care services,1
sk,Division No. 10,wadena,Ambulatory health care services,2
on,"Stormont, Dundas and Glengarry",lancaster,Ambulatory health care services,1
yt,Yukon,whitehose,Nursing and residential care facilities,1
on,Halton,acton,Nursing and residential care facilities,2
bc,Unknown,nakusp,Nursing and residential care facilities,1
sk,Division No.  9,norquay,Ambulatory health care services,1
ns,Annapolis,annapolis royal,Nursing and residential care facilities,1
nl,Division No. 10,labrador city,Hospitals,1
sk,Unknown,kincaid,Ambulatory health care services,1
bc,Cariboo,quesnel,Nursing and residential care facilities,2
on,Hastings,bancroft,Ambulatory health care services,1
on,Cochrane,moosonee,Hospitals,1
on,Cochrane,iroquois falls,Hospitals,1
on,"Stormont, Dundas and Glengarry",chesterville,Nursing and residential care facilities,1
qc,Unknown,maria,Hospitals,1
qc,La Vallée-de-la-Gatineau,maniwaki,Nursing and residential care facilities,1
qc,Thérèse-De Blainville,rosemère,Ambulatory health care services,2
bc,Unknown,cranbrook,Nursing and residential care facilities,1
on,Grey,meaford,Hospitals,1
qc,Témiscouata,saint-louis-du-ha! ha!,Nursing and residential care facilities,1
on,Lambton,watford,Nursing and residential care facilities,2
on,Elgin,saint thomas,Ambulatory health care services,8
nl,Division No.  7,glovertown,Ambulatory health care services,1
ns,Colchester,tatamagouche,Hospitals,1
nl,Division No.  3,port aux basques,Hospitals,1
qc,Nord-du-Québec,kuujjuaq,Hospitals,1
qc,Montréal,mont-royal,Nursing and residential care facilities,2
sk,Division No.  9,yorkton,Ambulatory health care services,3
on,Lennox and Addington,northbrook,Ambulatory health care services,2
mb,Division No. 17,mccreary,Hospitals,1
ab,Unknown,strathmore,Nursing and residential care facilities,1
bc,Nanaimo,nanaimo,Nursing and residential care facilities,29
mb,Unknown,little grand rapids,Hospitals,1
ab,Unknown,medicine hat,Nursing and residential care facilities,6
qc,Portneuf,donnacona,Ambulatory health care services,2
qc,La Nouvelle-Beauce,sainte-marie,Nursing and residential care facilities,1
qc,Le Haut-Saint-Laurent,akwesasne,Nursing and residential care facilities,1
qc,Le Domaine-du-Roy,roberval,Nursing and residential care facilities,2
bc,North Okanagan,coldstream,Nursing and residential care facilities,3
mb,Division No. 12,beausejour,Hospitals,1
pe,Queens,stratford,Nursing and residential care facilities,1
sk,Division No. 15,candle lake,Ambulatory health care services,1
bc,Comox Valley,courtenay,Hospitals,1
ab,Division No. 18,fox creek,Hospitals,1
qc,Marguerite-D'Youville,sainte-julie,Ambulatory health care services,1
on,"Stormont, Dundas and Glengarry",cornwall,Hospitals,2
on,Peterborough,peterborough,Ambulatory health care services,13
qc,La Côte-de-Beaupré,sainte-anne-de-beaupré,Ambulatory health care services,1
on,Brant,brant,Nursing and residential care facilities,5
qc,Unknown,gatineau,Hospitals,1
ab,Division No.  6,didsbury,Hospitals,1
on,Nipissing,sturgeon falls,Hospitals,1
pe,Queens,charlottetown,Hospitals,3
qc,La Vallée-de-l'Or,val-d'or,Nursing and residential care facilities,3
qc,Les Maskoutains,saint-jude,Ambulatory health care services,1
bc,Cowichan Valley,duncan,Hospitals,1
on,Kawartha Lakes,kawartha lakes,Hospitals,1
qc,Brome-Missisquoi,cowansville,Hospitals,2
bc,Capital,brentwood bay,Nursing and residential care facilities,3
qc,La Nouvelle-Beauce,saint-isidore,Nursing and residential care facilities,1
qc,Témiscouata,lac-des-aigles,Ambulatory health care services,1
on,Kenora,keewaywin,Ambulatory health care services,1
ns,Victoria,baddeck,Nursing and residential care facilities,1
qc,Nicolet-Yamaska,saint-léonard-d'aston,Ambulatory health care services,2
on,Manitoulin,mchigeeng,Ambulatory health care services,1
on,Grey,hanover,Hospitals,1
qc,Marguerite-D'Youville,varennes,Nursing and residential care facilities,1
bc,Fraser-Fort George,prince george,Hospitals,1
qc,Charlevoix,saint-hilarion,Ambulatory health care services,1
bc,Capital,sidney,Nursing and residential care facilities,6
mb,Division No. 11,winnipeg,Ambulatory health care services,2
qc,Montréal,westmount,Nursing and residential care facilities,4
on,Prescott and Russell,curran,Nursing and residential care facilities,1
on,Lambton,lambton shores,Ambulatory health care services,2
on,Hastings,bancroft,Hospitals,1
mb,Unknown,st theresa point,Hospitals,1
sk,Division No.  8,gull lake,Nursing and residential care facilities,1
on,Thunder Bay,schreiber,Ambulatory health care services,2
sk,Division No. 11,saskatoon,Ambulatory health care services,12
on,Kawartha Lakes,lindsay,Ambulatory health care services,1
sk,Division No.  5,melville,Nursing and residential care facilities,1
nb,Kings,sussex,Hospitals,1
mb,Division No.  3,altona,Hospitals,1
on,Unknown,fonthill,Ambulatory health care services,1
qc,Beauharnois-Salaberry,salaberry-de-valleyfield,Hospitals,1
sk,Division No. 16,shellbrook,Hospitals,1
on,Lennox and Addington,amherstview,Nursing and residential care facilities,3
ab,Division No. 13,mayerthorpe,Hospitals,1
ab,Division No. 13,barrhead,Hospitals,1
on,Thunder Bay,marathon,Ambulatory health care services,1
ab,Division No. 19,mclennan,Hospitals,1
ab,Division No.  6,black diamond,Hospitals,1
on,Peterborough,curve lake,Ambulatory health care services,1
on,Peel,oakville,Ambulatory health care services,1
ab,Unknown,vulcan,Nursing and residential care facilities,1
qc,Montmagny,berthier-sur-mer,Ambulatory health care services,1
nb,Westmorland,moncton,Ambulatory health care services,9
bc,Columbia-Shuswap,salmon arm,Ambulatory health care services,3
nb,Westmorland,riverview,Nursing and residential care facilities,7
sk,Division No.  9,kamsack,Hospitals,1
on,Durham,whitby,Nursing and residential care facilities,9
on,Northumberland,campbellford,Hospitals,1
ab,Division No.  2,milk river,Hospitals,1
sk,Division No. 13,macklin,Ambulatory health care services,1
ab,Division No. 11,wetaskiwin,Hospitals,1
mb,Division No. 18,eriksdale,Hospitals,1
sk,Division No.  2,pangman,Ambulatory health care services,1
ab,Unknown,red deer,Nursing and residential care facilities,3
bc,Fraser Valley,mission,Hospitals,1
qc,Arthabaska,victoriaville,Ambulatory health care services,11
qc,Bellechasse,saint-lazare-de-bellechasse,Ambulatory health care services,1
sk,Division No. 10,raymore,Nursing and residential care facilities,1
on,Huron,arthur,Ambulatory health care services,1
qc,La Nouvelle-Beauce,sainte-hénédine,Nursing and residential care facilities,1
sk,Division No.  6,fort quappelle,Nursing and residential care facilities,1
on,Durham,whitby,Hospitals,2
bc,Greater Vancouver,langley city,Nursing and residential care facilities,4
qc,Bellechasse,saint-anselme,Ambulatory health care services,1
qc,Matawinie,saint-michel-des-saints,Nursing and residential care facilities,1
bc,Unknown,grand forks,Nursing and residential care facilities,1
ns,Cape Breton,new waterford,Nursing and residential care facilities,1
qc,Longueuil,longueuil,Hospitals,15
bc,Capital,sooke,Nursing and residential care facilities,2
qc,Lotbinière,sainte-croix,Nursing and residential care facilities,1
sk,Unknown,carlyle,Nursing and residential care facilities,1
qc,Shawinigan,shawinigan,Ambulatory health care services,5
qc,Antoine-Labelle,rivière-rouge,Hospitals,1
on,Cochrane,hearst,Nursing and residential care facilities,1
qc,Communauté maritime des Îles-de-la-Madeleine,les îles-de-la-madeleine,Nursing and residential care facilities,2
ab,Division No.  2,picture butte,Hospitals,1
on,Frontenac,kingston,Hospitals,4
on,Durham,oshawa,Ambulatory health care services,6
mb,Division No. 12,oakbank,Ambulatory health care services,1
qc,Joliette,joliette,Nursing and residential care facilities,3
qc,Lac-Saint-Jean-Est,alma,Nursing and residential care facilities,3
on,Renfrew,renfrew,Hospitals,1
on,Renfrew,calabogie,Ambulatory health care services,1
qc,Les Appalaches,thetford mines,Nursing and residential care facilities,4
on,Renfrew,barrys bay,Hospitals,1
yt,Yukon,carmacks,Ambulatory health care services,1
ab,Division No. 19,peace river,Hospitals,1
yt,Yukon,dawson city,Nursing and residential care facilities,1
ns,Unknown,halifax,Nursing and residential care facilities,1
on,Lanark,perth,Ambulatory health care services,1
on,Renfrew,arnprior,Ambulatory health care services,2
ns,Kings,wolfville,Ambulatory health care services,1
bc,Thompson-Nicola,barriere,Nursing and residential care facilities,1
on,York,markham,Ambulatory health care services,8
qc,Antoine-Labelle,mont-laurier,Ambulatory health care services,3
nb,Charlotte,st stephen,Hospitals,1
sk,Division No. 15,rosthern,Nursing and residential care facilities,1
bc,Greater Vancouver,coquitlam,Ambulatory health care services,6
qc,Matawinie,rawdon,Nursing and residential care facilities,2
bc,Strathcona,campbell river,Nursing and residential care facilities,14
sk,Division No. 16,debden,Ambulatory health care services,1
qc,Bécancour,saint-pierre-les-becquets,Nursing and residential care facilities,1
on,Durham,ajax,Nursing and residential care facilities,4
bc,Nanaimo,nanaimo,Ambulatory health care services,4
nl,Division No.  6,buchans,Hospitals,1
sk,Division No. 15,humboldt,Nursing and residential care facilities,1
on,Manitoulin,birch island,Ambulatory health care services,1
qc,Beauce-Sartigan,saint-georges,Ambulatory health care services,2
bc,Unknown,maple ridge,Nursing and residential care facilities,2
on,Kenora,red lake,Nursing and residential care facilities,1
qc,Kamouraska,saint-pacôme,Nursing and residential care facilities,1
ns,Cape Breton,glace bay,Hospitals,1
qc,La Rivière-du-Nord,saint-jérôme,Nursing and residential care facilities,12
on,Bruce,kincardine,Nursing and residential care facilities,2
qc,Montmagny,montmagny,Hospitals,2
on,York,thornhill,Hospitals,1
ab,Division No. 11,breton,Nursing and residential care facilities,1
on,Grey,hanover,Ambulatory health care services,1
on,Bruce,walkerton,Nursing and residential care facilities,2
on,Durham,port perry,Nursing and residential care facilities,3
on,Timiskaming,temiskaming shores,Ambulatory health care services,6
bc,Greater Vancouver,langley,Nursing and residential care facilities,24
on,Manitoulin,little current,Nursing and residential care facilities,1
on,Sudbury,noelville,Ambulatory health care services,1
sk,Division No. 13,cut knife,Ambulatory health care services,1
qc,Rouyn-Noranda,rouyn-noranda,Ambulatory health care services,8
on,Grey,chatsworth,Nursing and residential care facilities,1
bc,Unknown,clearwater,Nursing and residential care facilities,1
bc,Kootenay Boundary,grand forks,Hospitals,1
on,Lennox and Addington,amherstview,Ambulatory health care services,1
sk,Division No. 14,naicam,Ambulatory health care services,1
qc,Le Val-Saint-François,richmond,Ambulatory health care services,1
qc,La Côte-de-Gaspé,gaspé,Ambulatory health care services,4
qc,Longueuil,boucherville,Ambulatory health care services,2
ns,Halifax,fall river,Ambulatory health care services,1
sk,Division No.  6,indian head,Nursing and residential care facilities,1
on,Lanark,lanark,Ambulatory health care services,1
qc,Kamouraska,la pocatière,Hospitals,1
on,Wellington,fergus,Hospitals,1
on,Niagara,port colborne,Nursing and residential care facilities,2
on,York,markham,Hospitals,1
qc,D'Autray,berthierville,Nursing and residential care facilities,1
on,Oxford,woodstock,Ambulatory health care services,4
nl,Unknown,change islands,Ambulatory health care services,1
bc,Unknown,trail,Nursing and residential care facilities,2
qc,Vaudreuil-Soulanges,l'île-perrot,Nursing and residential care facilities,1
ns,Kings,wolfville,Nursing and residential care facilities,2
qc,La Tuque,la tuque,Ambulatory health care services,1
qc,Nord-du-Québec,inukjuak,Nursing and residential care facilities,1
qc,Roussillon,candiac,Nursing and residential care facilities,1
ab,Division No. 12,bonnyville,Hospitals,2
qc,Argenteuil,grenville,Ambulatory health care services,1
ns,Antigonish,antigonish,Nursing and residential care facilities,2
qc,Manicouagan,franquelin,Ambulatory health care services,1
sk,Unknown,lafleche,Nursing and residential care facilities,1
qc,Unknown,maniwaki,Hospitals,1
sk,Division No.  6,fort quappelle,Ambulatory health care services,3
sk,Unknown,foam lake,Nursing and residential care facilities,1
mb,Division No.  5,boissevain,Hospitals,1
qc,Le Haut-Saint-François,east angus,Ambulatory health care services,4
qc,Témiscamingue,nédélec,Ambulatory health care services,1
on,Leeds and Grenville,merrickville,Nursing and residential care facilities,1
on,Thunder Bay,marathon,Hospitals,1
nl,Unknown,bonavista,Nursing and residential care facilities,2
bc,Central Kootenay,creston,Nursing and residential care facilities,5
on,Waterloo,maryhill,Nursing and residential care facilities,2
on,Cochrane,timmins,Ambulatory health care services,16
qc,D'Autray,saint-gabriel-de-brandon,Nursing and residential care facilities,1
on,Perth,listowel,Ambulatory health care services,2
ab,Division No.  5,three hills,Hospitals,1
on,Oxford,ingersoll,Hospitals,1
sk,Unknown,big river,Ambulatory health care services,1
ab,Unknown,bonnyville,Nursing and residential care facilities,1
qc,Minganie--Le Golfe-du-Saint-Laurent,blanc-sablon,Hospitals,1
on,Brant,ohsweken,Ambulatory health care services,1
bc,Bulkley-Nechako,burns lake,Nursing and residential care facilities,1
qc,Portneuf,donnacona,Nursing and residential care facilities,1
on,Prescott and Russell,hawkesbury,Ambulatory health care services,3
on,Cochrane,kapuskasing,Ambulatory health care services,2
qc,D'Autray,sainte-élisabeth,Nursing and residential care facilities,1
sk,Division No.  9,preeceville,Ambulatory health care services,1
qc,L'Assomption,l'assomption,Nursing and residential care facilities,1
on,Toronto,etobicoke,Hospitals,2
ab,Division No.  6,calgary,Hospitals,7
qc,Mékinac,saint-tite,Nursing and residential care facilities,1
nb,Victoria,grand falls/grand-sault,Hospitals,1
on,Muskoka,bracebridge,Ambulatory health care services,3
on,Simcoe,barrie,Ambulatory health care services,15
sk,Division No. 16,big river,Ambulatory health care services,1
qc,Kamouraska,la pocatière,Ambulatory health care services,1
sk,Division No. 13,unity,Hospitals,2
qc,Marguerite-D'Youville,verchères,Ambulatory health care services,1
on,Leeds and Grenville,brockville,Ambulatory health care services,8
bc,Unknown,parksville,Nursing and residential care facilities,1
nb,York,stanley,Nursing and residential care facilities,1
ns,Shelburne,shelburne,Nursing and residential care facilities,1
nb,Unknown,lamèque,Nursing and residential care facilities,1
qc,La Tuque,la tuque,Nursing and residential care facilities,3
qc,Québec,l'ancienne-lorette,Ambulatory health care services,1
on,Essex,tecumseh,Nursing and residential care facilities,2
on,Hastings,tweed,Ambulatory health care services,1
mb,Division No. 17,grandview,Hospitals,1
sk,Division No. 17,goodsoil,Ambulatory health care services,1
qc,Vaudreuil-Soulanges,vaudreuil-dorion,Ambulatory health care services,2
on,Halton,burlington,Ambulatory health care services,7
qc,Nord-du-Québec,inukjuak,Ambulatory health care services,1
qc,La Vallée-de-l'Or,val-d'or,Hospitals,2
qc,Témiscamingue,ville-marie,Ambulatory health care services,2
sk,Division No. 15,cudworth,Nursing and residential care facilities,1
bc,Unknown,abbotsford,Hospitals,1
qc,Nord-du-Québec,whapmagoostui,Ambulatory health care services,2
sk,Division No. 10,quill lake,Ambulatory health care services,1
qc,Montréal,dorval,Nursing and residential care facilities,3
on,Chatham-Kent,wallaceburg,Hospitals,1
on,Frontenac,perth road,Nursing and residential care facilities,1
ns,Colchester,millbrook 27,Nursing and residential care facilities,1
on,Brant,brantford,Nursing and residential care facilities,14
on,Timiskaming,temiskaming shores,Nursing and residential care facilities,4
on,Simcoe,wasaga beach,Ambulatory health care services,1
nl,Division No.  3,harbour breton,Hospitals,1
qc,Abitibi-Ouest,la sarre,Ambulatory health care services,2
ab,Unknown,st paul,Nursing and residential care facilities,1
bc,Cariboo,williams lake,Ambulatory health care services,1
ns,Yarmouth,dayton,Nursing and residential care facilities,1
bc,Fraser-Fort George,prince george,Nursing and residential care facilities,18
nb,Restigouche,campbellton,Hospitals,2
sk,Division No.  9,yorkton,Hospitals,1
on,Prescott and Russell,st-albert,Nursing and residential care facilities,1
sk,Division No. 14,carrot river,Hospitals,1
yt,Unknown,pelly crossing,Ambulatory health care services,1
nb,Gloucester,shippagan,Nursing and residential care facilities,1
nl,Unknown,stephenville crossing,Nursing and residential care facilities,1
on,Northumberland,brighton,Nursing and residential care facilities,2
sk,Division No. 10,ituna,Ambulatory health care services,1
on,Thunder Bay,mobert,Ambulatory health care services,1
mb,Division No.  2,emerson,Nursing and residential care facilities,1
nl,Unknown,grand bank,Nursing and residential care facilities,1
qc,Portneuf,portneuf,Ambulatory health care services,2
qc,La Haute-Côte-Nord,forestville,Nursing and residential care facilities,1
ab,Unknown,smoky lake,Nursing and residential care facilities,1
nl,Unknown,clarenville,Nursing and residential care facilities,2
qc,Nord-du-Québec,chibougamau,Hospitals,2
qc,Lac-Saint-Jean-Est,alma,Hospitals,2
bc,Kootenay Boundary,grand forks,Nursing and residential care facilities,3
ns,Kings,berwick,Nursing and residential care facilities,2
qc,Beauce-Sartigan,saint-georges,Nursing and residential care facilities,3
ab,Division No. 10,camrose,Hospitals,1
qc,Pontiac,mansfield-et-pontefract,Ambulatory health care services,1
bc,Unknown,duncan,Nursing and residential care facilities,1
on,Sudbury,espanola,Ambulatory health care services,1
qc,Abitibi-Ouest,macamic,Nursing and residential care facilities,1
on,Bruce,kincardine,Ambulatory health care services,1
sk,Division No. 13,kindersley,Hospitals,1
nl,Unknown,corner brook,Nursing and residential care facilities,1
sk,Division No.  4,maple creek,Ambulatory health care services,1
on,Lennox and Addington,napanee,Ambulatory health care services,2
ab,Division No. 10,vegreville,Hospitals,1
on,Lennox and Addington,napanee,Hospitals,1
bc,Central Kootenay,nakusp,Hospitals,1
qc,Roussillon,saint-philippe,Nursing and residential care facilities,1
sk,Division No. 17,edam,Ambulatory health care services,1
mb,Division No. 20,ste rose du lac,Hospitals,1
qc,Les Collines-de-l'Outaouais,chelsea,Ambulatory health care services,1
qc,Montréal,pointe-claire,Ambulatory health care services,5
qc,Les Jardins-de-Napierville,saint-rémi,Nursing and residential care facilities,1
nb,Westmorland,dieppe,Nursing and residential care facilities,10
ab,Division No. 14,hinton,Hospitals,1
on,Thunder Bay,upsala,Ambulatory health care services,2
qc,Arthabaska,warwick,Nursing and residential care facilities,1
